Processors	Process	Node		Points	Threads	Construction	Distribution
2		1	ct1pt-tnode006	2097151	12	0.308502	0.0322826
2		0	ct1pt-tnode006	2097151	12	0.314415	0.0123621
2		0	ct1pt-tnode006	16777215	12	2.65517	2.54343
2		1	ct1pt-tnode006	16777215	12	2.8555	2.70259
2		0	ct1pt-tnode006	134217727	12	22.0218	20.9138
2		1	ct1pt-tnode006	134217727	12	19.6256	22.1875
4		1	ct1pt-tnode006	32767	1	0.00510454	0.0131267
4		2	ct1pt-tnode007	32767	1	0.00425076	0.0125974
4		0	ct1pt-tnode006	32767	1	0.00495734	0.0122778
4		3	ct1pt-tnode007	32767	1	0.00435239	0.0137099
4		1	ct1pt-tnode006	262143	1	0.0542715	0.0530187
4		0	ct1pt-tnode006	262143	1	0.0489431	0.0474437
4		2	ct1pt-tnode007	262143	1	0.0557566	0.0526565
4		3	ct1pt-tnode007	262143	1	0.050089	0.0505184
4		1	ct1pt-tnode006	2097151	1	0.574853	0.439618
4		0	ct1pt-tnode006	2097151	1	0.534709	0.41619
4		2	ct1pt-tnode007	2097151	1	0.533516	0.43932
4		3	ct1pt-tnode007	2097151	1	0.546118	0.43929
4		1	ct1pt-tnode006	16777215	1	5.75004	1.58492
4		0	ct1pt-tnode006	16777215	1	5.82163	1.40358
4		2	ct1pt-tnode007	16777215	1	5.8447	0.401261
4		3	ct1pt-tnode007	16777215	1	4.60338	0.401254
4		1	ct1pt-tnode006	134217727	1	54.6102	13.2152
4		0	ct1pt-tnode006	134217727	1	54.8341	11.7635
4		2	ct1pt-tnode007	134217727	1	42.5798	3.20285
4		3	ct1pt-tnode007	134217727	1	53.3662	3.20281
4		1	ct1pt-tnode006	32767	2	1.18951	1.502
4		0	ct1pt-tnode006	32767	2	0.00357303	1.50057
4		2	ct1pt-tnode007	32767	2	0.00295911	1.50836
4		3	ct1pt-tnode007	32767	2	1.15913	1.50851
4		1	ct1pt-tnode006	262143	2	0.0313933	0.365921
4		0	ct1pt-tnode006	262143	2	0.0256728	0.363431
4		2	ct1pt-tnode007	262143	2	0.0320498	0.370042
4		3	ct1pt-tnode007	262143	2	0.0260378	0.370051
4		1	ct1pt-tnode006	2097151	2	0.31938	0.436372
4		0	ct1pt-tnode006	2097151	2	0.270388	0.412896
4		2	ct1pt-tnode007	2097151	2	0.26818	0.439296
4		3	ct1pt-tnode007	2097151	2	0.275181	0.439307
4		1	ct1pt-tnode006	16777215	2	3.1358	1.57699
4		0	ct1pt-tnode006	16777215	2	3.18256	1.39516
4		2	ct1pt-tnode007	16777215	2	3.23368	0.393581
4		3	ct1pt-tnode007	16777215	2	2.3073	0.393493
4		1	ct1pt-tnode006	134217727	2	29.7963	13.1549
4		0	ct1pt-tnode006	134217727	2	30.0275	11.6987
4		2	ct1pt-tnode007	134217727	2	21.4878	3.13863
4		3	ct1pt-tnode007	134217727	2	26.7479	3.13846
4		1	ct1pt-tnode006	32767	4	1.23323	1.3167
4		0	ct1pt-tnode006	32767	4	0.155456	1.31541
4		2	ct1pt-tnode007	32767	4	0.157402	1.3517
4		3	ct1pt-tnode007	32767	4	1.16431	1.35168
4		1	ct1pt-tnode006	262143	4	0.0217857	0.203199
4		0	ct1pt-tnode006	262143	4	0.0155147	0.200707
4		2	ct1pt-tnode007	262143	4	0.0220227	0.202479
4		3	ct1pt-tnode007	262143	4	0.188245	0.202491
4		1	ct1pt-tnode006	2097151	4	0.207494	0.43855
4		0	ct1pt-tnode006	2097151	4	0.152674	0.415277
4		2	ct1pt-tnode007	2097151	4	0.152239	0.441931
4		3	ct1pt-tnode007	2097151	4	0.156763	0.441924
4		1	ct1pt-tnode006	16777215	4	1.88026	1.57449
4		0	ct1pt-tnode006	16777215	4	1.88919	1.39281
4		2	ct1pt-tnode007	16777215	4	2.03244	0.391615
4		3	ct1pt-tnode007	16777215	4	1.18258	0.391541
4		1	ct1pt-tnode006	134217727	4	17.8226	13.1476
4		0	ct1pt-tnode006	134217727	4	17.7826	11.6912
4		2	ct1pt-tnode007	134217727	4	10.8169	3.12988
4		3	ct1pt-tnode007	134217727	4	13.8549	3.12974
4		1	ct1pt-tnode006	32767	6	1.25316	1.2556
4		0	ct1pt-tnode006	32767	6	0.149934	1.25448
4		2	ct1pt-tnode007	32767	6	0.247138	1.28072
4		3	ct1pt-tnode007	32767	6	1.18865	1.28073
4		1	ct1pt-tnode006	262143	6	0.0200363	0.128635
4		0	ct1pt-tnode006	262143	6	0.0130023	0.126146
4		2	ct1pt-tnode007	262143	6	0.0203311	0.11397
4		3	ct1pt-tnode007	262143	6	0.0140428	0.113977
4		1	ct1pt-tnode006	2097151	6	0.170783	0.436707
4		0	ct1pt-tnode006	2097151	6	0.115576	0.413375
4		3	ct1pt-tnode007	2097151	6	0.1196	0.436517
4		2	ct1pt-tnode007	2097151	6	0.115154	0.436511
4		1	ct1pt-tnode006	16777215	6	1.47774	1.5761
4		0	ct1pt-tnode006	16777215	6	1.48542	1.39377
4		3	ct1pt-tnode007	16777215	6	0.799172	0.391178
4		2	ct1pt-tnode007	16777215	6	1.63018	0.391255
4		1	ct1pt-tnode006	134217727	6	13.8866	13.1591
4		0	ct1pt-tnode006	134217727	6	13.8742	11.7063
